,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:51 AM,37,32,82,6,0,29.10,0.0,SE,Haze,2023-01-01
1,2:18 AM,38,33,83,8,0,29.10,0.0,SSE,Haze,2023-01-01
2,2:32 AM,38,33,83,7,0,29.10,0.0,SSE,Light Rain,2023-01-01
3,2:51 AM,38,33,83,7,0,29.10,0.0,SSE,Light Rain,2023-01-01
4,3:22 AM,38,34,86,7,0,29.10,0.0,S,Light Rain,2023-01-01
5,3:27 AM,38,34,86,7,0,29.10,0.0,S,Light Rain,2023-01-01
6,3:51 AM,38,34,86,6,0,29.10,0.1,SSE,Rain,2023-01-01
7,4:06 AM,38,35,89,3,0,29.10,0.1,SSE,Heavy Rain,2023-01-01
8,4:51 AM,38,35,89,0,0,29.10,0.1,CALM,Light Rain,2023-01-01
9,5:20 AM,38,35,89,5,0,29.09,0.0,SE,Cloudy,2023-01-01
10,5:51 AM,38,36,93,5,0,29.09,0.0,SE,Light Rain,2023-01-01
11,6:06 AM,38,36,93,5,0,29.10,0.0,S,Light Rain,2023-01-01
12,6:26 AM,39,36,89,8,0,29.09,0.0,S,Fog,2023-01-01
13,6:36 AM,39,37,93,6,0,29.10,0.0,S,Fog,2023-01-01
14,6:51 AM,40,37,89,5,0,29.10,0.0,SSW,Fog,2023-01-01
15,7:51 AM,42,39,89,5,0,29.12,0.0,WSW,Fog,2023-01-01
16,8:06 AM,42,39,89,5,0,29.13,0.0,WSW,Cloudy,2023-01-01
17,8:42 AM,42,39,89,5,0,29.14,0.0,WSW,Cloudy,2023-01-01
18,8:51 AM,42,39,89,6,0,29.14,0.0,WSW,Cloudy,2023-01-01
19,9:51 AM,42,39,89,6,0,29.17,0.0,W,Cloudy,2023-01-01
20,10:51 AM,42,39,89,7,0,29.19,0.0,W,Cloudy,2023-01-01
21,11:51 AM,41,38,89,7,0,29.20,0.0,W,Fog,2023-01-01
22,12:08 PM,41,38,89,8,0,29.21,0.0,W,Fog,2023-01-01
23,12:51 PM,41,38,89,7,0,29.20,0.0,WSW,Fog,2023-01-01
24,1:51 PM,42,39,89,7,0,29.21,0.0,W,Fog,2023-01-01
25,2:00 PM,42,39,89,8,0,29.21,0.0,SW,Cloudy,2023-01-01
26,2:51 PM,43,39,86,3,0,29.20,0.0,VAR,Mostly Cloudy,2023-01-01
27,3:16 PM,44,39,82,6,0,29.20,0.0,WSW,Mostly Cloudy,2023-01-01
28,3:51 PM,45,39,80,6,0,29.22,0.0,WSW,Mostly Cloudy,2023-01-01
29,4:51 PM,43,39,86,5,0,29.24,0.0,WSW,Mostly Cloudy,2023-01-01
30,5:51 PM,42,38,85,0,0,29.24,0.0,CALM,Mostly Cloudy,2023-01-01
31,6:51 PM,40,36,86,0,0,29.22,0.0,CALM,Mostly Cloudy,2023-01-01
32,7:51 PM,40,37,89,6,0,29.26,0.0,SSW,Cloudy,2023-01-01
33,8:51 PM,41,37,86,0,0,29.28,0.0,CALM,Cloudy,2023-01-01
34,9:21 PM,40,37,89,0,0,29.29,0.0,CALM,Cloudy,2023-01-01
35,9:51 PM,40,37,89,0,0,29.29,0.0,CALM,Cloudy,2023-01-01
36,10:14 PM,40,36,86,0,0,29.29,0.0,CALM,Cloudy,2023-01-01
37,10:51 PM,39,36,89,0,0,29.29,0.0,CALM,Cloudy,2023-01-01
38,11:41 PM,39,36,89,0,0,29.30,0.0,CALM,Fog,2023-01-01
39,11:51 PM,38,35,89,0,0,29.30,0.0,CALM,Fog,2023-01-01
40,12:06 AM,39,35,86,0,0,29.30,0.0,CALM,Fog,2023-01-01
41,12:14 AM,39,35,86,0,0,29.31,0.0,CALM,Fog,2023-01-01
42,12:24 AM,38,35,89,0,0,29.30,0.0,CALM,Fog,2023-01-01
43,12:38 AM,38,36,93,0,0,29.30,0.0,CALM,Fog,2023-01-01
44,12:51 AM,38,35,89,0,0,29.30,0.0,CALM,Fog,2023-01-01
0,1:40 AM,38,35,89,0,0,29.29,0.0,CALM,Fog,2023-01-02
1,1:51 AM,38,35,89,0,0,29.29,0.0,CALM,Fog,2023-01-02
2,2:51 AM,37,34,89,0,0,29.30,0.0,CALM,Fog,2023-01-02
3,3:02 AM,37,34,89,0,0,29.30,0.0,CALM,Fog,2023-01-02
4,3:36 AM,34,32,92,0,0,29.30,0.0,CALM,Fog,2023-01-02
5,3:51 AM,34,30,85,0,0,29.30,0.0,CALM,Mist,2023-01-02
6,4:20 AM,35,32,89,5,0,29.29,0.0,N,Mist,2023-01-02
7,4:30 AM,33,30,89,6,0,29.28,0.0,NNE,Mist,2023-01-02
8,4:37 AM,33,30,89,5,0,29.28,0.0,N,Mist,2023-01-02
9,4:51 AM,33,29,85,0,0,29.28,0.0,CALM,Mist,2023-01-02
10,5:01 AM,33,30,89,0,0,29.28,0.0,CALM,Mist,2023-01-02
11,5:26 AM,34,31,89,3,0,29.30,0.0,N,Mist,2023-01-02
12,5:30 AM,34,31,89,3,0,29.29,0.0,NNE,Mist,2023-01-02
13,5:51 AM,32,29,88,5,0,29.30,0.0,N,Mostly Cloudy,2023-01-02
14,6:10 AM,34,31,89,0,0,29.31,0.0,CALM,Mostly Cloudy,2023-01-02
15,6:51 AM,33,30,89,0,0,29.32,0.0,CALM,Mostly Cloudy,2023-01-02
16,7:51 AM,34,31,89,5,0,29.33,0.0,N,Mostly Cloudy,2023-01-02
17,8:51 AM,35,32,89,3,0,29.33,0.0,NNE,Cloudy,2023-01-02
18,9:51 AM,36,33,89,6,0,29.35,0.0,N,Cloudy,2023-01-02
19,10:51 AM,39,34,82,6,0,29.36,0.0,NNE,Cloudy,2023-01-02
20,11:51 AM,40,35,83,7,0,29.34,0.0,NNE,Cloudy,2023-01-02
21,12:51 PM,42,36,79,6,0,29.32,0.0,ENE,Cloudy,2023-01-02
22,1:51 PM,43,36,76,7,0,29.31,0.0,NE,Cloudy,2023-01-02
23,2:51 PM,42,36,79,9,0,29.30,0.0,NE,Cloudy,2023-01-02
24,3:51 PM,41,35,79,9,0,29.28,0.0,NE,Cloudy,2023-01-02
25,4:51 PM,40,35,83,9,0,29.28,0.0,ENE,Cloudy,2023-01-02
26,5:43 PM,40,36,86,13,0,29.26,0.0,NE,Cloudy,2023-01-02
27,5:51 PM,40,36,86,12,0,29.25,0.0,NE,Cloudy,2023-01-02
28,6:51 PM,40,36,86,10,0,29.25,0.0,E,Cloudy,2023-01-02
29,7:25 PM,40,36,86,12,0,29.26,0.0,E,Cloudy,2023-01-02
30,7:44 PM,39,35,86,10,0,29.26,0.0,ENE,Fog,2023-01-02
31,7:51 PM,39,35,86,9,0,29.26,0.0,ENE,Fog,2023-01-02
32,7:57 PM,38,35,89,10,0,29.26,0.0,ENE,Fog,2023-01-02
33,8:35 PM,38,35,89,9,0,29.25,0.0,NE,Fog,2023-01-02
34,8:51 PM,38,35,89,10,20,29.24,0.0,NE,Fog,2023-01-02
35,9:33 PM,38,35,89,8,0,29.24,0.0,NE,Fog,2023-01-02
36,9:51 PM,38,35,89,10,0,29.23,0.0,NNE,Fog,2023-01-02
37,10:51 PM,38,35,89,12,0,29.17,0.0,ENE,Fog,2023-01-02
38,11:39 PM,39,36,89,9,0,29.15,0.0,NE,Fog,2023-01-02
39,11:51 PM,39,36,89,12,0,29.14,0.0,NNE,Fog,2023-01-02
40,12:51 AM,39,37,93,9,0,29.11,0.0,ENE,Fog,2023-01-02
0,1:11 AM,39,37,93,10,0,29.09,0.0,NE,Fog,2023-01-03
1,1:51 AM,40,37,89,12,0,29.08,0.0,NNE,Fog,2023-01-03
2,2:46 AM,39,37,93,13,0,29.07,0.0,NE,Light Rain,2023-01-03
3,2:51 AM,40,38,93,10,0,29.07,0.1,NE,Light Rain,2023-01-03
4,3:03 AM,40,38,93,7,0,29.09,0.1,NE,Heavy Rain,2023-01-03
5,3:51 AM,40,37,89,14,0,29.05,0.4,NNE,Rain,2023-01-03
6,4:25 AM,40,37,89,12,0,29.03,0.1,NE,Heavy Rain,2023-01-03
7,4:51 AM,40,38,93,13,0,29.01,0.1,NE,Rain,2023-01-03
8,4:58 AM,40,38,93,13,0,29.01,0.0,NE,Light Rain,2023-01-03
